age,monthly_income,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,brand_loyalty_score,environmental_awareness,time_pressure_level,shopping_preference,digital_engagement,online_intensity,physical_preference,online_spend_ratio,gender_Female,gender_Male,gender_Other,city_tier_Tier 1,city_tier_Tier 2,city_tier_Tier 3
56,221111,12,0.7,1,6,16,16,28551,144092,2,3,2,6,7,7,1,6,5,2,2,7.8,0.48484848484848486,4.6,0.1291246065342451,False,False,True,False,False,True
69,96029,13,2.7,6,9,14,1,124056,28421,4,7,4,1,3,4,9,8,1,7,0,11.799999999999999,0.875,6.1,1.291846298031865,False,True,False,False,False,True
46,19055,4,2.1,10,8,2,0,81939,128229,9,4,5,3,4,10,1,3,3,3,2,9.3,0.6666666666666666,1.0,4.299905541561713,True,False,False,False,False,True
32,53170,11,0.7,2,10,20,3,35901,134650,7,0,3,3,10,2,4,2,6,6,2,8.100000000000001,0.8333333333333334,8.3,0.6751988866111226,True,False,False,True,False,False
60,244016,5,0.7,2,5,18,16,131971,34122,5,9,2,4,2,5,8,7,1,6,2,7.2,0.5142857142857142,10.6,0.540827073523566,False,True,False,False,False,True
25,114976,6,4.0,1,7,31,6,92423,123383,2,8,3,5,10,6,6,4,4,8,2,12.299999999999999,0.8157894736842105,3.6,0.8038390286753003,False,False,True,False,True,False
78,43251,6,3.2,1,8,10,4,26398,18035,9,5,5,5,2,8,9,9,9,8,0,8.900000000000002,0.6666666666666666,4.4,0.6103301581429761,False,False,True,False,True,False
38,150604,10,3.7,4,9,17,7,131561,33308,2,1,2,10,10,8,8,6,1,4,2,7.700000000000001,0.68,9.7,0.873550014939743,False,False,True,False,True,False
56,150996,2,1.1,5,3,28,0,123438,97145,7,6,4,5,2,9,8,6,6,4,2,8.700000000000001,0.9655172413793104,2.0,0.8174864401279496,True,False,False,False,False,True
75,63037,4,2.9,4,8,2,9,74311,79808,10,0,2,2,9,6,9,5,1,7,2,10.5,0.16666666666666666,1.9,1.1788286430407056,True,False,False,False,False,True
36,224154,12,5.4,6,3,49,3,56198,140722,9,0,7,10,10,9,9,8,10,5,2,14.3,0.9245283018867925,10.3,0.25071044589681246,False,True,False,False,False,True
